thuong_hieu,dong_xe,loai_xe,nam_dang_ky,so_km,dung_tich_cc,xuat_xu,quan,tieu_de,mo_ta,gia_rao
Honda,SH,Tay ga,2019,15000,150,Việt Nam,Quận 1,Bán SH 2019 chính chủ ít sử dụng,Xe đẹp không lỗi đầy đủ giấy tờ,65000000
Honda,Wave,Xe số,2015,30000,110,Việt Nam,Quận 12,Bán Wave RSX 2015,Xe zin chưa sửa chữa gì,15000000
Yamaha,Exciter,Tay côn/Moto,2020,20000,150,Việt Nam,Quận Bình Thạnh,Exciter 150 2020 cần bán gấp,Xe chạy tốt,1500000
Honda,SH,Tay ga,2018,26000,150,Việt Nam,Quận 1,,,300000000
Piaggio,Vespa,Tay ga,2022,5000,150,Nước khác,Quận 3,Vespa Sprint 2022 like new,Xe ít đi bảo dưỡng đầy đủ,90000000
Suzuki,Raider,Tay côn/Moto,2016,45000,150,Việt Nam,Quận 7,Raider 2016 zin,,20000000
SYM,Attila,Tay ga,2017,,,Việt Nam,Quận 8,Attila 2017,,12000000
Ducati,Monster,Tay côn/Moto,2021,8000,800,Nước khác,Quận 2,Ducati Monster 2021,Xe hiếm sưu tầm,250000000
Honda,Winner X,Tay côn/Moto,2021,10000,150,Việt Nam,Thành phố Thủ Đức,Winner X 2021 cần bán nhanh,,1000000
Yamaha,Grande,Tay ga,2020,12000,125,Việt Nam,Quận Tân Bình,Grande 2020,,45000000
Honda,Air Blade,Tay ga,2014,60000,125,Việt Nam,Quận Bình Tân,Air Blade 2014,Xe cũ chạy ổn,18000000
Honda,Cub,Xe số,1975,80000,50,Việt Nam,Quận 5,Cub 1975 cổ,Xe sưu tầm giữ gìn kỹ,25000000
